Brand,Screen_Size,RAM,Processor,GPU,Price,,
HP,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,698.98,,
Huawei,13.9,8,Intel Core i7 7th Gen.,Intel HD Graphics 620,399.6,,
Lenovo,15.6,16,AMD Ryzen 7 5000 Series,AMD Radeon Graphics,186.5,,
Lenovo,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,279.95,,
Lenovo,14,8,Intel Core i5 5th Gen.,,215.3,,
Dell,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,428.99,,
HP,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,496.99,,
HP,13.3,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,389.99,,
Lenovo,14,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,509.99,,
Dell,15.6,8,Intel Core i5 10th Gen.,Intel UHD Graphics,249.99,,
Microsoft,13.5,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,459.99,,
Dell,14,16,Intel Core i5 6th Gen.,Intel HD Graphics 520,199,,
HP,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,449.99,,
HP,14,8,Intel Core i7 10th Gen.,Intel UHD Graphics 620,349.99,,
HP,14,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 2050,629.99,,
Dell,13.4,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,769.99,,
Samsung,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,689.99,,
HP,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,215.95,,
Microsoft,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,329,,
Lenovo,16,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,450,,
Dell,17.3,16,Intel Core i7 12th Gen.,Intel UHD Graphics,429.99,,
Getac,13.3,8,Intel Core i5 6th Gen.,,759.49,,
Dell,14,32,Intel Core i7 9th Gen.,NVIDIA GeForce MX150,329.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,350,,
HP,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX A1000,869.95,,
HP,16,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,818.88,,
HP,15.6,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,412,,
Microsoft,14,16,Intel Core i7 11th Gen.,,989.99,,
Dell,14,16,Intel Core i5 11th Gen.,,427.99,,
Dell,15.6,32,Intel Core i7 12th Gen.,NVIDIA RTX A2000 8GB GDDR6,449.99,,
HP,14,16,Intel Core i5 7th Gen.,Intel HD Graphics 620,249.99,,
Dell,15.6,16,Intel Core i7 6th Gen.,Intel HD Graphics 520,159.11,,
Dell,12.5,16,Intel Core i7 6th Gen.,Intel® HD Graphics,219.99,,
LG,14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,369.99,,
HP,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,495.95,,
Lenovo,16,16,Intel Core i5 13th Gen.,Intel UHD Graphics,779.99,,
HP,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,409.99,,
Dell,15.6,16,Intel Core i5 6th Gen.,Intel HD Graphics 530,199.99,,
Samsung,15.6,16,Intel Core i7 13th Gen.,,749.99,,
Lenovo,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,219.99,,
Dell,15.6,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,474.95,,
Lenovo,14,16,Intel Core i5 11th Gen.,Intel(R) Iris(R) Xe Graphics,424.99,,
Acer,15.6,8,AMD Ryzen 5 7000 Series,AMD Radeon Graphics,499,,
Lenovo,13.3,16,Intel Core i7 10th Gen.,Intel Corporation CometLake-U GT2 [UHD Graphics],349.49,,
Dell,15.6,8,Intel Core i3 12th Gen.,,349,,
Dell,14,16gb,Intel Core i5 8th Gen.,Intel UHD Graphics 620,244.99,,
Dell,17.3,32,Intel Core i7 9th Gen.,Intel UHD Graphics 630,499.99,,
Lenovo,15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,398,,
HP,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,449.95,,
Lenovo,15.6,16,Intel Core i5 10th Gen.,Integrated Intel UHD Graphics,299.95,,
HP,14,16,Intel Core i5 8th Gen.,Intel HD Graphics,200,,
Dell,13.4,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,881.27,,
Dell,11.6,16,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,342.99,,
Dell,15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,499.99,,
Microsoft,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,265.99,,
Asus,14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,229.99,,
Asus,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphic,581.99,,
Lenovo,14,32,Intel Core i5 7th Gen.,,249.99,,
Dell,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,229.45,,
Dell,15.6,32,Intel Core i7 12th Gen.,NVIDIA RTX A1000 4GB GDDR6,249.99,,
HP,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,315,,
Dell,14,4,Intel Core i3 10th Gen.,Intel UHD Graphics,199.99,,
Dell,15.6,8,Intel Core i5 10th Gen.,Intel UHD Graphics,189.71,,
Dell,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,395.99,,
Dell,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,635,,
Dell,15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,495.45,,
Lenovo,13,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,233.95,,
Dell,15.6,8,Intel Core i5 11th Gen.,,399.94,,
Dell,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,215.95,,
Dell,13.4,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,549.99,,
Lenovo,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,650,,
Lenovo,14,16,Intel Core i7 7th Gen.,,269.99,,
Gateway,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,289.99,,
